ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
SNA,1ccc510980d1,,2026-03-16,,,1001.0,,open
CACC,,48504149f42b,,2026-01-12,,,1001.0,prior_position
V,ae5525d7505c,8c0661c99630,2026-01-07,2026-01-21,14.0,1001.0,15001.0,matched
V,bfb86f00ab30,ddaebb2b3fb7,2026-01-12,2026-01-26,14.0,50001.0,1001.0,matched
V,065deb0f91c6,577951c401fe,2026-01-17,2026-02-06,20.0,1001.0,1001.0,matched
V,0c84e36027b5,,2026-01-21,,,15001.0,,open
V,d3812aee58fa,,2026-02-12,,,100001.0,,open
V,e25e94a5b14d,,2026-02-12,,,1001.0,,open
V,161b326aeda3,,2026-03-12,,,100001.0,,open
V,2cd25bb4ffad,,2026-03-18,,,250001.0,,open
V,51add6573bff,,2026-03-21,,,15001.0,,open
V,8c5c0ca851ab,,2026-03-21,,,50001.0,,open
V,1be7aee85475,,2026-03-23,,,1001.0,,open
AVB,02ba8c55d6f1,5000783aaf9f,2026-01-06,2026-02-12,37.0,250001.0,1001.0,matched
AVB,8cd15dc7ddcd,,2026-01-12,,,500001.0,,open
AVB,caaca9935719,,2026-03-26,,,1001.0,,open
RBLX,,541304948eb4,,2026-01-08,,,15001.0,prior_position
RBLX,,7406fb67410e,,2026-01-12,,,1001.0,prior_position
RBLX,,6e323237ce67,,2026-01-18,,,15001.0,prior_position
RBLX,797f262236cc,,2026-01-21,,,1001.0,,open
RBLX,486e425c5edf,,2026-01-27,,,1001.0,,open
RBLX,4b8fb6372b22,,2026-01-28,,,1001.0,,open
UBER,82e1d9afb19a,aaac825bc99e,2026-01-06,2026-02-12,37.0,,1001.0,matched
UBER,f97371c1f0a8,7f8b5871574c,2026-01-07,2026-02-12,36.0,1001.0,100001.0,matched
UBER,a6cde715eb42,,2026-01-11,,,15001.0,,open
UBER,6f572451d791,,2026-01-12,,,1001.0,,open
UBER,b367613d8229,,2026-01-17,,,1001.0,,open
UBER,3f391a50d12b,,2026-01-21,,,50001.0,,open
UBER,619dbc580c7c,,2026-01-21,,,1001.0,,open
UBER,01104f9a8e62,,2026-03-02,,,15001.0,,open
UBER,88a0f6ea7f1b,,2026-03-11,,,1000001.0,,open
UBER,4ecc316daeee,,2026-03-18,,,100001.0,,open
UBER,4175bfd709e8,,2026-03-21,,,1001.0,,open
UBER,339b617e350b,,2026-03-23,,,1001.0,,open
UBER,99698d8548f7,,2026-03-23,,,1001.0,,open
UBER,3645ef8402db,,2026-03-26,,,1001.0,,open
NSIT,,449744d2a2ff,,2026-01-26,,,1001.0,prior_position
NSIT,ccb90e04c299,d2e7c56c73a5,2026-03-04,2026-03-30,26.0,15001.0,50001.0,matched
NKE,a2d1566f6ebb,38d29a9480d5,2026-03-11,2026-03-11,0.0,100001.0,100001.0,matched
NKE,,673f9a7c6171,,2026-03-26,,,1001.0,prior_position
BA,b8e61011e963,6b296731a929,2026-02-10,2026-03-17,35.0,1000001.0,500001.0,matched
BA,fc8fa896686c,faa9b47780a9,2026-02-10,2026-03-26,44.0,1000001.0,1001.0,matched
BA,ea81c48fd3f5,,2026-02-12,,,1001.0,,open
BA,1d01c58b2e5a,,2026-03-11,,,15001.0,,open
BA,fd2a7dc5afac,,2026-03-11,,,1001.0,,open
BA,738b737776be,,2026-03-31,,,15001.0,,open
PTC,4645289e45c7,d7f157026b92,2026-01-21,2026-03-26,64.0,15001.0,1001.0,matched
PTC,c106a1b50aab,,2026-01-23,,,1001.0,,open
PTC,98b630106dab,,2026-02-10,,,1000001.0,,open
PTC,c87551e2921b,,2026-02-10,,,1000001.0,,open
